ministerio,titular,inicio_str,fin_str,inicio,fin
Presidencia del Consejo de Ministros,Mercedes Aráoz Fernández,23 de marzo de 2018,2 de abril de 2018,2018-03-23,2018-04-02
Presidencia del Consejo de Ministros,César Villanueva Arévalo,2 de abril de 2018,8 de marzo de 2019,2018-04-02,2019-03-08
Presidencia del Consejo de Ministros,Salvador del Solar Labarthe,11 de marzo de 2019,30 de setiembre de 2019,2019-03-11,2019-09-30
Presidencia del Consejo de Ministros,Vicente Zeballos Salinas,30 de setiembre de 2019,NA,2019-09-30,NA
Relaciones Exteriores,Cayetana Aljovín Gazzani,23 de marzo de 2018,2 de abril de 2018,2018-03-23,2018-04-02
Relaciones Exteriores,Néstor Popolizio Bardales,2 de abril de 2018,30 de setiembre de 2019,2018-04-02,2019-09-30
Relaciones Exteriores,Gustavo Meza-Cuadra Velásquez,3 de octubre de 2019,,2019-10-03,NA
Defensa,Jorge Kisic Wagner,23 de marzo de 2018,2 de abril de 2018,2018-03-23,2018-04-02
Defensa,José Modesto Huerta Torres,2 de abril de 2018,24 de junio de 2019,2018-04-02,2019-06-24
Defensa,Jorge Moscoso Flores,8 de julio de 2019,30 de setiembre de 2019,2019-07-08,2019-09-30
Defensa,Walter Martos Ruiz,3 de octubre de 2019,NA,2019-10-03,NA
Economía y Finanzas,Claudia Cooper Fort,23 de marzo de 2018,2 de abril de 2018,2018-03-23,2018-04-02
Economía y Finanzas,David Tuesta Cárdenas,2 de abril de 2018,4 de junio de 2018,2018-04-02,2018-06-04
Economía y Finanzas,Carlos Oliva Neyra,7 de junio de 2018,30 de setiembre de 2019,2018-06-07,2019-09-30
Economía y Finanzas,María Antonieta Alva Luperdi,3 de octubre de 2019,NA,2019-10-03,NA
Interior,Vicente Romero Fernández,23 de marzo de 2018,2 de abril de 2018,2018-03-23,2018-04-02
Interior,Mauro Medina Guimaraes,2 de abril de 2018,17 de octubre de 2018,2018-04-02,2018-10-17
Interior,Carlos Morán Soto,19 de octubre de 2018,,2018-10-19,NA
Justicia y Derechos Humanos,Enrique Mendoza Ramírez,23 de marzo de 2018,2 de abril de 2018,2018-03-23,2018-04-02
Justicia y Derechos Humanos,Salvador Heresi Chicoma,2 de abril de 2018,13 de julio de 2018,2018-04-02,2018-07-13
Justicia y Derechos Humanos,Vicente Zeballos Salinas,20 de julio de 2018,30 de setiembre de 2019,2018-07-20,2019-09-30
Justicia y Derechos Humanos,Ana Teresa Revilla Vergara,3 de octubre de 2019,13 de febrero de 2020,2019-10-03,2020-02-13
Justicia y Derechos Humanos,Fernando Rafael Castañeda Portocarrero,13 de febrero de 2020,NA,2020-02-13,NA
Educación,Idel Vexler Talledo,23 de marzo de 2018,2 de abril de 2018,2018-03-23,2018-04-02
Educación,Daniel Alfaro Paredes,2 de abril de 2018,11 de marzo de 2019,2018-04-02,2019-03-11
Educación,Flor Aideé Pablo Medina,11 de marzo de 2019,13 de febrero de 2020,2019-03-11,2020-02-13
Educación,Carlos Martín Benavides Abanto,13 de febrero de 2020,NA,2020-02-13,NA
Salud,Abel Salinas Rivas,23 de marzo de 2018,2 de abril de 2018,2018-03-23,2018-04-02
Salud,Silvia Pessah Eljay,2 de abril de 2018,5 de enero de 2019,2018-04-02,2019-01-05
Salud,Zulema Tomás Gonzáles,7 de enero de 2019,15 de noviembre de 2019,2019-01-07,2019-11-15
Salud,Elizabeth Hinostroza Pereyra,18 de noviembre de 2019,NA,2019-11-18,NA
Agricultura y Riego,José Arista Arbildo,23 de marzo de 2018,2 de abril de 2018,2018-03-23,2018-04-02
Agricultura y Riego,Gustavo Mostajo Ocola,2 de abril de 2018,11 de marzo de 2019,2018-04-02,2019-03-11
Agricultura y Riego,Fabiola Muñoz Dodero,11 de marzo de 2019,30 de setiembre de 2019,2019-03-11,2019-09-30
Agricultura y Riego,Jorge Luis Montenegro Chavesta,3 de octubre de 2019,NA,2019-10-03,NA
Trabajo y Promoción del Empleo,Javier Barreda Jara,23 de marzo de 2018,2 de abril de 2018,2018-03-23,2018-04-02
Trabajo y Promoción del Empleo,Christian Sánchez Reyes,2 de abril de 2018,7 de diciembre de 2018,2018-04-02,2018-12-07
Trabajo y Promoción del Empleo,Sylvia Cáceres Pizarro,18 de diciembre de 2018,,2018-12-18,NA
Producción,Lieneke Schol Calle,23 de marzo de 2018,2 de abril de 2018,2018-03-23,2018-04-02
Producción,Daniel Córdova Cayo,2 de abril de 2018,25 de abril de 2018,2018-04-02,2018-04-25
Producción,Raúl Pérez-Reyes Espejo,30 de abril de 2018,11 de marzo de 2019,2018-04-30,2019-03-11
Producción,Rocío Barrios Alvarado,11 de marzo de 2019,,2019-03-11,NA
Comercio Exterior y Turismo,Eduardo Ferreyros Küppers,23 de marzo de 2018,2 de abril de 2018,2018-03-23,2018-04-02
Comercio Exterior y Turismo,Rogers Martín Valencia Espinoza,2 de abril de 2018,18 de diciembre de 2018,2018-04-02,2018-12-18
Comercio Exterior y Turismo,Edgar Manuel Vásquez Vela,18 de diciembre de 2018,,2018-12-18,NA
Energía y Minas,Ángela Grossheim Barrientos,23 de marzo de 2018,2 de abril de 2018,2018-03-23,2018-04-02
Energía y Minas,Francisco Ísmodes Mezzano,2 de abril de 2018,30 de setiembre de 2019,2018-04-02,2019-09-30
Energía y Minas,Juan Carlos Liu Yonsen,3 de octubre de 2019,10 de febrero de 2020,2019-10-03,2020-02-10
Energía y Minas,Susana Gladis Vilca Achata,13 de febrero de 2020,NA,2020-02-13,NA
Transportes y Comunicaciones,Bruno Giuffra Monteverde,23 de marzo de 2018,28 de marzo de 2018,2018-03-23,2018-03-28
Transportes y Comunicaciones,Edmer Trujillo Mori,28 de marzo de 2018,14 de abril de 2019,2018-03-28,2019-04-14
Transportes y Comunicaciones,María Jara Risco,26 de abril de 2019,30 de setiembre de 2019,2019-04-26,2019-09-30
Transportes y Comunicaciones,Edmer Trujillo Mori,3 de octubre de 2019,13 de febrero de 2020,2019-10-03,2020-02-13
Transportes y Comunicaciones,Carlos Eduardo Lozada Contreras,13 de febrero de 2020,NA,2020-02-13,NA
"Vivienda, Construcción y Saneamiento",Carlos Bruce Montes de Oca,23 de marzo de 2018,2 de abril de 2018,2018-03-23,2018-04-02
"Vivienda, Construcción y Saneamiento",Javier Piqué del Pozo,2 de abril de 2018,11 de marzo de 2019,2018-04-02,2019-03-11
"Vivienda, Construcción y Saneamiento",Carlos Bruce Montes de Oca,11 de marzo de 2019,14 de abril de 2019,2019-03-11,2019-04-14
"Vivienda, Construcción y Saneamiento",Miguel Estrada Mendoza,26 de abril de 2019,30 de setiembre de 2019,2019-04-26,2019-09-30
"Vivienda, Construcción y Saneamiento",Rodolfo Yáñez Wendorff,3 de octubre de 2019,NA,2019-10-03,NA
Mujer y Poblaciones Vulnerables,Ana María Choquehuanca,23 de marzo de 2018,2 de abril de 2018,2018-03-23,2018-04-02
Mujer y Poblaciones Vulnerables,Ana María Mendieta Trefogli,2 de abril de 2018,11 de marzo de 2019,2018-04-02,2019-03-11
Mujer y Poblaciones Vulnerables,Gloria Montenegro Figueroa,11 de marzo de 2019,,2019-03-11,NA
Ambiente,Elsa Galarza Contreras,23 de marzo de 2018,2 de abril de 2018,2018-03-23,2018-04-02
Ambiente,Fabiola Muñoz Dodero,2 de abril de 2018,11 de marzo de 2019,2018-04-02,2019-03-11
Ambiente,Lucía Ruiz Ostoic,11 de marzo de 2019,30 de setiembre de 2019,2019-03-11,2019-09-30
Ambiente,Fabiola Muñoz Dodero,3 de octubre de 2019,,2019-10-03,NA
Cultura,Alejandro Neyra Sánchez,23 de marzo de 2018,2 de abril de 2018,2018-03-23,2018-04-02
Cultura,Patricia Balbuena Palacios,2 de abril de 2018,30 de noviembre de 2018,2018-04-02,2018-11-30
Cultura,Rogers Martín Valencia Espinoza,18 de diciembre de 2018,11 de marzo de 2019,2018-12-18,2019-03-11
Cultura,Ulla Holmquist Pachas,11 de marzo de 2019,8 de julio de 2019,2019-03-11,2019-07-08
Cultura,Luis Jaime Castillo Butters,8 de julio de 2019,30 de setiembre de 2019,2019-07-08,2019-09-30
Cultura,Francesco Petrozzi Franco,3 de octubre de 2019,4 de diciembre de 2019,2019-10-03,2019-12-04
Cultura,Sonia Elizabeth Guillén Oneeglio,7 de diciembre de 2019,NA,2019-12-07,NA
Desarrollo e Inclusión Social,Jorge Meléndez Celis,23 de marzo de 2018,2 de abril de 2018,2018-03-23,2018-04-02
Desarrollo e Inclusión Social,Liliana La Rosa Huertas,2 de abril de 2018,11 de marzo de 2019,2018-04-02,2019-03-11
Desarrollo e Inclusión Social,Paola Bustamante Suárez,11 de marzo de 2019,30 de setiembre de 2019,2019-03-11,2019-09-30
Desarrollo e Inclusión Social,Jorge Meléndez Celis,3 de octubre de 2019,27 de octubre de 2019,2019-10-03,2019-10-27
