ministerio,titular,inicio_str,fin_str,inicio,fin
Presidencia del Consejo de Ministros,Fernando Zavala Lombardi,28 de julio de 2016,15 de setiembre de 2017,2016-07-28,2017-09-15
Presidencia del Consejo de Ministros,Mercedes Aráoz Fernández,17 de setiembre de 2017,23 de marzo de 2018,2017-09-17,2018-03-23
Relaciones Exteriores,Víctor Ricardo Luna Mendoza,28 de julio de 2016,9 de enero de 2018,2016-07-28,2018-01-09
Relaciones Exteriores,Cayetana Aljovín Gazzani,9 de enero de 2018,23 de marzo de 2018,2018-01-09,2018-03-23
Defensa,Mariano González Fernández,28 de julio de 2016,28 de noviembre de 2016,2016-07-28,2016-11-28
Defensa,Jorge Nieto Montesinos,5 de diciembre de 2016,3 de enero de 2018,2016-12-05,2018-01-03
Defensa,Jorge Raúl Esteban Kisic Wagner,9 de enero de 2018,23 de marzo de 2018,2018-01-09,2018-03-23
Economía y Finanzas,Alfredo Eduardo Thorne Vetter,28 de julio de 2016,21 de junio de 2017,2016-07-28,2017-06-21
Economía y Finanzas,Fernando Zavala Lombardi,23 de junio de 2017,15 de setiembre de 2017,2017-06-23,2017-09-15
Economía y Finanzas,Claudia María Cooper Fort,17 de setiembre de 2017,23 de marzo de 2018,2017-09-17,2018-03-23
Interior,Carlos Basombrío Iglesias,28 de julio de 2016,27 de diciembre de 2017,2016-07-28,2017-12-27
Interior,Vicente Romero Fernández,27 de diciembre de 2017,23 de marzo de 2018,2017-12-27,2018-03-23
Justicia y Derechos Humanos,Marisol Pérez Tello,28 de julio de 2016,15 de setiembre de 2017,2016-07-28,2017-09-15
Justicia y Derechos Humanos,Enrique Mendoza Ramírez,17 de setiembre de 2017,23 de marzo de 2018,2017-09-17,2018-03-23
Educación,Jaime Saavedra Chanduví,31 de octubre de 2013,18 de diciembre de 2016,2013-10-31,2016-12-18
Educación,Marilú Doris Martens Cortés,18 de diciembre de 2016,15 de setiembre de 2017,2016-12-18,2017-09-15
Educación,Idel Vexler Talledo,17 de setiembre de 2017,23 de marzo de 2018,2017-09-17,2018-03-23
Salud,Patricia García Funegra,28 de julio de 2016,15 de setiembre de 2017,2016-07-28,2017-09-15
Salud,Fernando D'Alessio Ipinza,17 de setiembre de 2017,9 de enero de 2018,2017-09-17,2018-01-09
Salud,Abel Salinas Rivas,9 de enero de 2018,23 de marzo de 2018,2018-01-09,2018-03-23
Agricultura y Riego,José Manuel Hernández Calderón,28 de julio de 2016,9 de enero de 2018,2016-07-28,2018-01-09
Agricultura y Riego,José Arista Arbildo,9 de enero de 2018,23 de marzo de 2018,2018-01-09,2018-03-23
Trabajo y Promoción del Empleo,Alfonso Grados Carraro,28 de julio de 2016,9 de enero de 2018,2016-07-28,2018-01-09
Trabajo y Promoción del Empleo,Javier Barreda Jara,9 de enero de 2018,23 de marzo de 2018,2018-01-09,2018-03-23
Producción,Bruno Giuffra Monteverde,28 de julio de 2016,25 de mayo de 2017,2016-07-28,2017-05-25
Producción,Pedro Olaechea Álvarez-Calderón,25 de mayo de 2017,9 de enero de 2018,2017-05-25,2018-01-09
Producción,Lieneke Schol Calle,9 de enero de 2018,23 de marzo de 2018,2018-01-09,2018-03-23
Comercio Exterior y Turismo,Eduardo Ferreyros Küppers,28 de julio de 2016,23 de marzo de 2018,2016-07-28,2018-03-23
Energía y Minas,Gonzalo Tamayo Flores,28 de julio de 2016,27 de julio de 2017,2016-07-28,2017-07-27
Energía y Minas,Cayetana Aljovín Gazzani,27 de julio de 2017,9 de enero de 2018,2017-07-27,2018-01-09
Energía y Minas,Ángela Grossheim Barrientos,9 de enero de 2018,23 de marzo de 2018,2018-01-09,2018-03-23
Transportes y Comunicaciones,Martín Vizcarra Cornejo,28 de julio de 2016,22 de mayo de 2017,2016-07-28,2017-05-22
Transportes y Comunicaciones,Bruno Giuffra Monteverde,25 de mayo de 2017,23 de marzo de 2018,2017-05-25,2018-03-23
"Vivienda, Construcción y Saneamiento",Edmer Trujillo Mori,28 de julio de 2016,15 de setiembre de 2017,2016-07-28,2017-09-15
"Vivienda, Construcción y Saneamiento",Carlos Bruce Montes de Oca,17 de setiembre de 2017,23 de marzo de 2018,2017-09-17,2018-03-23
Mujer y Poblaciones Vulnerables,Ana María Romero-Lozada Lauezzari,28 de julio de 2016,27 de julio de 2017,2016-07-28,2017-07-27
Mujer y Poblaciones Vulnerables,Ana María Choquehuanca de Villanueva,27 de julio de 2017,23 de marzo de 2018,2017-07-27,2018-03-23
Ambiente,Elsa Galarza Contreras,28 de julio de 2016,23 de marzo de 2018,2016-07-28,2018-03-23
Cultura,Jorge Nieto Montesinos,28 de julio de 2016,5 de diciembre de 2016,2016-07-28,2016-12-05
Cultura,Salvador del Solar Labarthe,5 de diciembre de 2016,27 de diciembre de 2017,2016-12-05,2017-12-27
Cultura,Alejandro Neyra Sánchez,9 de enero de 2018,23 de marzo de 2018,2018-01-09,2018-03-23
Desarrollo e Inclusión Social,Cayetana Aljovín Gazzani,28 de julio de 2016,27 de julio de 2017,2016-07-28,2017-07-27
Desarrollo e Inclusión Social,Fiorella Molinelli Aristondo,27 de julio de 2017,9 de enero de 2018,2017-07-27,2018-01-09
Desarrollo e Inclusión Social,Jorge Meléndez Celis,9 de enero de 2018,23 de marzo de 2018,2018-01-09,2018-03-23
